"NULL","cKMNummer","geschaeftspartnerNummerGeschaeftspartnerNummer","cKMNummerCKMNummer","partnerKategoriePartnerKategorie","partnerTypPartnerTyp","anredeAnrede","nameName","vornameVorname","geburtsdatumGeburtsdatum","adressTypAdressTyp","strasseStrasse","postfachOhneNummerPostfachOhneNummer","pLZPLZ","ortOrt","landLand","korrespondenzSpracheKorrespondenzSprache","telefonNummerTelefonNummer","land","vertragsnummerVertragsnummer","dienststellenCode","vertragsart","vonDatumVonDatum","bisDatumBisDatum","statusStatus","hauptzahlungsmittel","leistungsvertragspositionsnummer","artikel","leistungsID","status","vonDatum","bisDatum","partnerfunktion","geschaeftspartnerNummer","partnerKategorie","partnerTyp","anrede","name","vorname","geburtsdatum","adressTyp","strasse","postfachOhneNummer","pLZ","ort","land0","korrespondenzSprache","emailAdresse","telefonNummer","land1","istBasisGA","vertragsnummer","aktivitaet","trialFlag","mitMindestVertragsdauer","klasse","meldungstyp","meldung","nachrichtenklasse","nachrichtennummer"
"11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MT00003126","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MT00003137","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"13","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MT00003135","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"14","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MD50000135","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"15","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","true","MT00003134","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"16","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","MD50000134","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"17","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","true","ME00003972","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"18","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","W","LBBP ist identisch mit VP. Daten vom LBBP werden ignoriert.","ZDO_1","106"
"19","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","W","Daten von existierenden Geschäftspartnern werden nicht upgedatet","ZDO_1","102"
"20","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","S","Trial war erfolgreich","ZDO_1","110"
